Grapheme	IPA	Frequency
^f	f	13
a	a	95
r	r	37
ŋ	ŋ	14
o$	o	20
^m̈	m̈/m	9
o	o	40
-$	NULL	35
t	t	24
u	u	33
^l	l	8
e	e	20
^v̈	v̈/v	7
n	n	17
v̈	v̈/vʱ	7
^s	s	14
l	l	18
a$	a	52
^β	β	5
s	s	24
i	i	46
^k	k	5
u$	u	15
^a	a	14
_	+	3
^u	u	4
^p	p	7
k	k	3
^t	t	20
p	p	8
ṭ	ṭ/ʈ	4
^n	n	8
^ṭ	ṭ/ʈ	6
m̈	m̈/mʰ	5
ls	l s	1
^ŋ	ŋ	3
^r	r	7
-	+	5
e$	e	8
^&	ʔ	1
&	ʔ	1
i$	i	17
n$	n	4
^i	i	5
^o	o	3
m̈m̈	m̈m̈/mːʰ	1
^m	m	9
β$	β	1
m	m	2
^e	e	4
^ls	l s	1
p̈	p̈/p	6
β	β	6
^w	w	1
h	h	1
^p̈	p̈/p	1
ŋ$	ŋ	1
^nn	nʰ	2
ṭ$	ṭ/ʈ	1
m$	m	2
l$	l	1
