Grapheme	IPA	Frequency
^b	b	9
a	a	112
e	e	24
-	+	71
k$	k	31
^ŋ	ŋ	2
s$	s	1
^k	k	46
i	i	38
n	n	50
o	o	52
u	u	68
p	p	13
a$	a	76
^d	d	4
r	r	40
m	m	20
^p	p	11
t$	t	3
^ɡ	g	5
l	l	17
-$	NULL	4
w	w	4
b	b	3
^t	t	9
^u	u	6
t	t	33
^s	s	8
^i	i	24
k	k	16
y	y/j	3
^r	r	9
u$	u	3
_	+	12
s	s	12
ŋ	ŋ	12
^m	m	18
l$	l	4
ŋ$	ŋ	10
i$	i	18
o$	o	9
^a	a	3
ə	ə	1
^-	NULL	6
e$	e	7
p$	p	4
ns	n s	2
^n	n	2
d	d	4
^_	NULL	3
m$	m	3
ɛ	ɛ	1
^e	e	3
^o	o	2
r$	r	1
n$	n	5
^kw	kʷ	1
^l	l	5
^w	w	1
ii	iː	1
uu	uː	1
^e$	e	1
β	β	1
^y	y/j	2
g	g	1
rr	rː	1
