Grapheme	IPA	Frequency
^l	l	12
i	i	30
m	m	11
a	a	40
-	+	28
ʔ	ʔ	12
u$	u	18
^β	β	4
k	k	15
_	+	2
ɛ	ɛ	13
r	r	14
ˀu$	ʔ u	12
t	t	18
u	u	30
^p	p	7
l	l	13
o	o	27
^r	r	8
ɔ$	ɔ	1
^s	s	8
e$	e	12
s	s	11
a$	a	23
^k	k	12
ɔ	ɔ	13
n	n	15
p	p	3
^t	t	9
e	e	16
^w	w	6
^m	m	15
ns	n s	1
β	β	7
^a	a	3
^n	n	6
w	w	5
n$	n	9
g	g	1
i$	i	17
^ɔ	ɔ	2
nn	nː	1
^tˢ	ts	3
o$	o	6
eˀ	e ʔ	1
ˀo$	ʔ o	1
tˢ	ts	4
^o	o	9
s$	s	2
β$	β	1
pʷ	pʷ	1
^i	i	1
kˀ	kˀ	1
l$	l	4
^oˀ	o ʔ	1
^u	u	1
aˀ	a ʔ	1
^ɛ	ɛ	3
uˀ	u ʔ	1
^ˀoˀ	ʔ o ʔ	1
r$	r	1
·$	NULL	2
iˀ	i ʔ	1
ɛ$	ɛ	1
m$	m	1
